Area,Bus Number,Destination,Via,Platform Number,,Area - Kannada,Destination - Kannada,Via - Kannada
RT Nagar,114C,Sulthanapalya,Mount Carmel College,29,,ಆರ್.ಟಿ. ನಗರ,ಸುಲ್ತಾನಪಾಳ್ಯ,ಮೌಂಟ್ ಕಾರ್ಮೆಲ್ ಕಾಲೇಜು
RT Nagar,415B,V Nagenahalli,Sultanpalya,29,,ಆರ್.ಟಿ. ನಗರ,ವಿ ನಾಗೇನಹಳ್ಳಿ,ಸುಲ್ತಾನಪಾಳ್ಯ
Sadashivanagar,104,Sadashivanagara,Malleshwara Circle,29,,ಸದಾಶಿವನಗರ,ಸದಾಶಿವನಗರ,ಮಲ್ಲೇಶ್ವರ ವೃತ್ತ
Sarjapura,V-342FD,Dodda Kannalli,St Johns - Agara,14,,ಕೋರಮಂಗಲ,ದೊಡ್ಡ ಕನ್ನಲ್ಲಿ,ಸೇಂಟ್ ಜಾನ್ಸ್ - ಅಗರ
Sarjapura,"342-F, V-342F",Sarjapura,St Johns - Agara,14A,,ಸರ್ಜಾಪುರ,ಸರ್ಜಾಪುರ,ಸೇಂಟ್ ಜಾನ್ಸ್ - ಅಗರ
Shivajinagar,126,Jeevanahalli,Shivajinagara,23,,ಶಿವಾಜಿನಗರ,ಜೀವನಹಳ್ಳಿ,ಶಿವಾಜಿನಗರ
Shivajinagar,"129, V-129",Shivajinagar,Vidhana Soudha,23,,ಶಿವಾಜಿನಗರ,ಶಿವಾಜಿನಗರ,ವಿಧಾನ ಸೌಧ
SMVT Railway Station,300MV,SMVT Railway Station,Sevanagara,20,,SMVT ರೈಲು ನಿಲ್ದಾಣ,ಎಸ್‌ ಎಂ ವಿ ಟಿ ರೈಲು ನಿಲ್ದಾಣ,ಸೇವನಗರ
Tannery Road-Nagawara,290J,Mesthri Palya,Nagavara,20,,ಟ್ಯಾನರಿ ರಸ್ತೆ-ನಾಗವಾರ,ಮೇಸ್ತ್ರಿ ಪಾಳ್ಯ,ನಾಗವಾರ
Tannery Road-Nagawara,291H,RK Hegde Nagar,Thanisandra,20,,ಟ್ಯಾನರಿ ರಸ್ತೆ-ನಾಗವಾರ,ಆರ್ ಕೆ ಹೆಗಡೆ ನಗರ,ಥಣಿಸಂದ್ರ
Tannery Road-Nagawara,290B,Thanisandra,Nagarvara,20,,ಟ್ಯಾನರಿ ರಸ್ತೆ-ನಾಗವಾರ,ಥಣಿಸಂದ್ರ,ನಾಗರವರ
Tannery Road-Nagawara,290EY,Yelahanka,RK Hegde Nagar,20,,ಟ್ಯಾನರಿ ರಸ್ತೆ-ನಾಗವಾರ,ಯಲಹಂಕ,ಆರ್ ಕೆ ಹೆಗಡೆ ನಗರ
Tumakuru Road,250A,Chikkabanavara,8th Mile,22,,ತುಮಕೂರು ರಸ್ತೆ,ಚಿಕ್ಕಬಾಣಾವರ,೮ನೇ ಮೈಲಿ
Tumakuru Road,250P,Chikkabanavara,Dr Rajkumar Road,22,,ತುಮಕೂರು ರಸ್ತೆ,ಚಿಕ್ಕಬಾಣಾವರ,ಡಾ ರಾಜ್‌ಕುಮಾರ್ ರಸ್ತೆ
Tumakuru Road,258DN,Dabaspete,Nelamangala,23,,ತುಮಕೂರು ರಸ್ತೆ,ದಾಬಾಸಪೇಟೆ,ನೆಲಮಂಗಲ
Tumakuru Road,EXP 258DK,Dabaspete,Dr. Rajkumar Road,23,,ತುಮಕೂರು ರಸ್ತೆ,ದಾಬಸ್ಪೇಟೆ,ಡಾ ರಾಜ್‌ಕುಮಾರ್ ರಸ್ತೆ
Tumakuru Road,253J,Hesaraghatta,Chikkabanavara,22,,ತುಮಕೂರು ರಸ್ತೆ,ಹೆಸರಘಟ್ಟ,ಚಿಕ್ಕಬಾಣಾವರ
Tumakuru Road,255D,Huskur Village,Makali,23,,ತುಮಕೂರು ರಸ್ತೆ,ಹುಸ್ಕೂರು ಗ್ರಾಮ,ಮಾಕಳಿ
Tumakuru Road,265A,KBS,Jalahalli Cross Sunkadakatte,22,,ತುಮಕೂರು ರಸ್ತೆ,ಕೆಂಪೇಗೌಡ ಬಸ್‌ ನಿಲ್ದಾಣ,ಜಾಲಹಳ್ಳಿ ಕ್ರಾಸ್ ಸುಂಕದಕಟ್ಟೆ
Tumakuru Road,252E,Laggere,Jalahalli Cross,22,,ತುಮಕೂರು ರಸ್ತೆ,ಲಗ್ಗೆರೆ,ಜಾಲಹಳ್ಳಿ ಕ್ರಾಸ್
Tumakuru Road,253G,Madhure Temple,Hesaraghatta,22,,ತುಮಕೂರು ರಸ್ತೆ,ಮಧುರೆ ದೇವಸ್ಥಾನ,ಹೆಸರಘಟ್ಟ
Tumakuru Road,"258C, EXP 258C",Nelamangala,Yeshwanthapura,23,,ತುಮಕೂರು ರಸ್ತೆ,ನೆಲಮಂಗಲ,ಯಶವಂತಪುರ
Tumakuru Road,258CC,Nelamangala,Dr Rajkumar Road,23,,ತುಮಕೂರು ರಸ್ತೆ,ನೆಲಮಂಗಲ,ಡಾ ರಾಜ್‌ಕುಮಾರ್ ರಸ್ತೆ
Tumakuru Road,252,Peenya 2nd Stage,Jalahalli Cross,22,,ತುಮಕೂರು ರಸ್ತೆ,ಪೀಣ್ಯ 2ನೇ ಹಂತ,ಜಾಲಹಳ್ಳಿ ಕ್ರಾಸ್
Tumakuru Road,258M,Thyamagondlu,Nelamangala,23,,ತುಮಕೂರು ರಸ್ತೆ,ತ್ಯಾಮಗೊಂಡ್ಲು,ನೆಲಮಂಗಲ
Vijaynagar,61A,Chandra Layout,Vijayanagar,1,,ವಿಜಯನಗರ,ಚಂದ್ರ ಲೇಔಟ್‌,ವಿಜಯನಗರ
Vijaynagar ,61J,Chandra Layout 1st stage,Chandra Layout,1,,ವಿಜಯನಗರ,ಚಂದ್ರ ಲೇಔಟ್ 1 ನೇ ಹಂತ,ಚಂದ್ರ ಲೇಔಟ್‌
Vijaynagar ,87,Hampinagar,Pipeline,1,,ವಿಜಯನಗರ,ಹಂಪಿನಗರ,ಪೈಪ್‌ ಲೈನ್‌
Vijaynagar ,238V,Muddinapalya Junction,Chandra Layout,1,,ವಿಜಯನಗರ,ಮುದ್ದಿನಪಾಳ್ಯ ಜಂಕ್ಷನ್,ಚಂದ್ರ ಲೇಔಟ್
Vijaynagar ,238VM,Ullal Upanagar,Chandra Layout,1,,ವಿಜಯನಗರ,ಉಲ್ಲಾಳು ಉಪನಗರ,ಚಂದ್ರ ಲೇಔಟ್
Yelahanka ,402C,Atturu,Mother Dairy,27,,ಯಲಹಂಕ,ಅಟ್ಟೂರು,ಮದರ್ ಡೈರಿ
Yelahanka ,402B,Yelahanka 5th Phase,Yelahanka New Town,27,,ಯಲಹಂಕ,ಯಲಹಂಕ 5ನೇ ಹಂತ,ಯಲಹಂಕ ಉಪನಗರ
KR Road,210AA,ISKCON Temple Maruthinagar,"BSK, ISRO Layout",11,,ಕೆ ಆರ್‌ ರಸ್ತೆ,ಇಸ್ಕಾನ್ ದೇವಸ್ಥಾನ ಮಾರುತಿನಗರ,"ಬನಶಂಕರಿ, ಇಸ್ರೋ ಲೇಔಟ್‌"
Yeshwantpura,99B,Chowdeshwari Bus Stand,Mathikere,25,,ಯಶವಂತಪುರ,ಚೌಡೇಶ್ವರಿ ಬಸ್ ನಿಲ್ದಾಣ,ಮತ್ತಿಕೆರೆ
Yeshwantpura,99A,Mohan Kumar Nagara,Chowdeshwari Bus Stand,25,,ಯಶವಂತಪುರ,ಮೋಹನ್ ಕುಮಾರ್ ನಗರ,ಚೌಡೇಶ್ವರಿ ಬಸ್ ನಿಲ್ದಾಣ
Yeshwantpura,82AR,Yeshwanthapura New Railway Station,Gayathrinagara,24,,ಯಶವಂತಪುರ,ಯಶವಂತಪುರ ಹೊಸ ರೈಲು ನಿಲ್ದಾಣ,ಗಾಯತ್ರಿನಗರ
Yeshwantpura,90E,Yeshwanthapura Railway Station,MD Block,24,,ಯಶವಂತಪುರ,ಯಶವಂತಪುರ ರೈಲು ನಿಲ್ದಾಣ,ಎಂ ಡಿ ಬ್ಲಾಕ್‌
Yelahanka ,284D,Yelahanka New Town,Hebbala,27,,ಯಲಹಂಕ,ಯಲಹಂಕ ಉಪನಗರ,ಹೆಬ್ಬಾಳ
,,,,,,,,
