stop_name,stop_name_kn
5th Main HSR Layout,5ನೇ ಮುಖ್ಯ ರಸ್ತೆ ಎಚ್ಎಸ್ಆರ್ ಲೇಔಟ್
5th Phase Yelahanka New Town,ಯಲಹಂಕ 5ನೇ ಹಂತ
5th Stone NICE Road,ನೈಸ್‌ ರಸ್ತೆ 5 ನೇ ಕಲ್ಲು
6th Block Rajajinagara,ರಾಜಾಜಿನಗರ 6ನೇ ಬ್ಲಾಕ್
7th Cross Srirampura,7ನೇ ಅಡ್ಡರಸ್ತೆ ಶ್ರೀರಾಂಪುರ
7th Cross Wilson Garden,7ನೇ ಅಡ್ಡರಸ್ತೆ ವಿಲ್ಸನ್‌ ಗಾರ್ಡನ್
7th Main Srirampura,7ನೇ ಮುಖ್ಯ ರಸ್ತೆ ಶ್ರೀರಾಂಪುರ
80 feet Road Kalyananagara,80 ಅಡಿ ರಸ್ತೆ  ಕಲ್ಯಾಣನಗರ
80ft Road Banasawadi,80 ಅಡಿ ರಸ್ತೆ ಬಾಣಸವಾಡಿ
80ft Road HRBR Layout,80 ಅಡಿ ರಸ್ತೆ ಹೆಚ್‌ಆರ್‌ಬಿಆರ್‌ ಬಡಾವಣೆ
80ft Road MS Ramaiah College,ಸದಾಶಿವ‌ ನಗರ ಆರಕ್ಷಕ ಠಾಣೆ
8th Main 3rd Cross  Junction,8ನೇ ಮುಖ್ಯರಸ್ತೆ 3ನೇ ಅಡ್ಡರಸ್ತೆ ಜಂಕ್ಷನ್
8th Main Kamalanagara,ಕಮಲಾನಗರ 8 ನೇ ಮುಖ್ಯ ರಸ್ತೆ
8th Mile Dasarahalli,8 ನೇ ಮೈಲಿ ದಾಸರಹಳ್ಳಿ
9th Block Jayanagara,ಜಯನಗರ 9 ನೇ ಬ್ಲಾಕ್
9th Block Jayanagara (40th Cross),9ತ್ ಬ್ಲೊಕ್ಕ್ ಜಯನಗರ (40ತ್ ಕ್ರೊಸ್ಸ್)
9th Stone NICE Road,ನೈಸ್‌ ರಸ್ತೆ 9ನೇ ಕಲ್ಲು
9th block Jayanagara,9ನೇ ಬ್ಲಾಕ್ ಜಯನಗರ
A G Export Garments Nelamangala,ಎ ಜಿ ಎಕ್ಸ್ ಪೋರ್ಟ್‌ ಗಾರ್ಮೆಂಟ್ಸ್‌ ನೆಲಮಂಗಲ
A P J Abdul Kalam Statue,ಆ ಪಿ ಜೆ ಅಬ್ದುಲ್ ಕಲಾಮ್ ಪ್ರತಿಮೆ
ACTS College,ಎಸಿಟಿಎಸ್‌ ಕಾಲೇಜು
ADMC Quarters Office,ಎಡಿಎಂಸಿ ಕ್ವಾರ್ಟರ್ಸ್ ಆಫೀಸ್
AECS Dental College,ಎಇಸಿಎಸ್‌ ಡೆಂಟಲ್‌ ಕಾಲೇಜು
AECS Layout Cross,ಎಇಸಿಎಸ್ ಬಡಾವಣೆ ಕ್ರಾಸ್
AECS Layout Singasandra,ಎಇಸಿಎಸ್‌ ಬಡಾವಣೆ ಸಿಂಗಸಂದ್ರ
AGS Layout,ಎಜಿಎಸ್‌ ಬಡಾವಣೆ
AGS Layout Arehalli,ಎಜಿಎಸ್‌ ಬಡಾವಣೆ ಅರೆಹಳ್ಳಿ
AGS Layout Cross,ಎಜಿಎಸ್‌ ಬಡಾವಣೆ ಕ್ರಾಸ್
AIR FORCE Quarters,ಏರ್ ಫೋರ್ಸ್ ಕ್ವಾರ್ಟರ್ಸ್
AL Ameen Residential School,ಅಲ್‌ ಅಮೀನ್‌ ರೆಸಿಡೆನ್ಸಿಯಲ್‌ ಸ್ಕೂಲ್
AL-Agro Factory,ಅಲ್-ಆಗ್ರೋ ಫ್ಯಾಕ್ಟರಿ
AMC College,ಎಎಂಸಿ ಕಾಲೇಜ್
APCO Factory,ಆಪ್ಕೋ ಫ್ಯಾಕ್ಟರಿ
APMC Yard,ಎಪಿಎಂಸಿ ಯಾರ್ಡ್
APS College,ಎಪಿಎಸ್ ಕಾಲೇಜು
APS College Cross,ಅಪ್ಸ್ ಕೊಲ್ಲೆಗೆ ಕ್ರೊಸ್ಸ್
ARMY PUBLIC SCHOOL,ಆರ್ಮಿ ಪಬ್ಲಿಕ್ ಸ್ಕೂಲ್
