stop_name,stop_name_kn
ESI Hospital White Field,ಇಎಸ್‌ಐ ಆಸ್ಪತ್ರೆ ವೈಟ್‌ಫೀಲ್ಡ್
Eagleton Resort,ಈಗಲ್ಟನ್‌ ರೆಸಾರ್ಟ್
East End Jayanagara,ಈಸ್ಟ್ ಎಂಡ್‌ ಜಯನಗರ
East Point College,ಈಸ್ಟ್ ಪಾಯಿಂಟ್‌ ಕಾಲೇಜು
East Railway Station,ಈಸ್ಟ್ ರೈಲ್ವೇ ನಿಲ್ದಾಣ
East West College,ಈಸ್ಟ್‌ ವೆಸ್ಟ್‌ ಕಾಲೇಜು
East West College Cross,ಈಸ್ಟ್ ವೆಸ್ಟ್ ಕಾಲೇಜು‌ ಕ್ರಾಸ್
East West Public School,ಈಸ್ಟ್ ವೆಸ್ಟ್ ಪಬ್ಲಿಕ್‌ ಸ್ಕೂಲ್
Ebenezer International School,ಎಬೆನೆಜರ್ ಅಂತರರಾಷ್ಟೀಯ ಶಾಲೆ
Echalamara Vidyaranyapura,ಈಚಲಮರ ವಿದ್ಯಾರಣ್ಯಪುರ
Eco Space,ಇಕೋ ಸ್ಪೇಸ್
Ejipura,ಈಜೀಪುರ
Ejipura School,ಈಜಿಪುರ ಶಾಲೆ
ElC City Phase-2 Xavier Institute of Management,ಎಲೆಕ್ರ್ಟಾನಿಕ್‌ ಸಿಟಿ 2ನೇ ಹಂತ ಇನಸ್ಟಿಟ್ಯೂಟ್‌ ಆಫ್‌ ಮಾನ್ಯೇಜಮೆಂಟ್
Electric B Station,ಎಲೆಕ್ಟ್ರಿಕ್ ಬಿ ನಿಲ್ದಾಣ
Electronic City,ಎಲೆಕ್ರ್ಟಾನಿಕ್‌ ಸಿಟಿ‌
Electronic City 378,ಎಲೆಕ್ಟ್ರೊನಿಕ್ ಕಿಟೆ 378
Electronic City East Phase-II,ಎಲೆಕ್ಟ್ರಾನಿಕ್‌ ಸಿಟಿ ಈಸ್ಟ್ 2ನೇ ಹಂತ
Electronic City FLY,ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಸಿಟಿ ಮೆಲ್ಸೇತುವೆ
Electronic City KIA,ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಸಿಟಿ ಕಿಯಾ
Electronic City NICE-10,ಎಲೆಕ್ಟ್ರೊನಿಕ್ ಕಿಟೆ ನಿಕೆ-10
Electronic City PESIT College,ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಸಿಟಿ ಪಿ ಇ ಎಸ್‌ ಐ ಟಿ ಕಾಲೇಜು
Electronic City Toll,ಎಲೆಕ್ಟ್ರಾನಿಕ್‌ ಸಿಟಿ ಟೋಲ್ ಪಾಯಿಂಟ್
Electronic City Wipro Main Gate,ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಸಿಟಿ ವಿಪ್ರೋ ಮೇನ್ ಗೇಟ್
Elgin Floor Mill,ಎಲೈನ್‌ ಫ್ಲೋರ್‌ ಮಿಲ್
Elmeasure KIADB,ಎಲ್ಮೆಷರ್‌ ಕೆ ಐ ಎ ಡಿ ಬಿ
Embassy School,ಎಂಬಸ್ಸಿ ಶಾಲೆ
English,Kannada
Eradu Kamba,ಎರಡು ಕಂಬ
Eranapalya,ಈರನಪಾಳ್ಯ
Escorts,ಎಸ್ಕಾರ್ಟ್ಸ್
Eshwara Layout,ಈಶ್ವರ ಬಡಾವಣೆ
Eshwara Temple Puttayyanapalya,ಈಶ್ವರ ಟೆಂಪಲ್ ಪುಟ್ಟಯ್ಯನಪಾಳ್ಯ
Estate Tavarekere,ಎಸ್ಟೇಟ್ ತವರೆಕೆರೆ
Exide Gate,ಎಕ್ಸೈಡ್ ಗೇಟ್
FAZ FARMS,ಫಾಜ್ ಫಾರ್ಮ್ಸ್
Fairland Shop,ಫೇರ್‌ಲ್ಯಾಂಡ್‌ ಶಾಪ್
Faizabad,ಫೈಜಾಬಾದ್
Fathima Church,1ಎಸ್ಟಿ ಬ್ಲಾಕ್ ವಿದ್ಯಾರಣ್ಯಪುರ
Fire Station Brigade Hulimavu,ಫೈರ್ ಸ್ಟೇಷನ್ ಬ್ರಿಗೇಡ್ ಹುಲಿಮಾವು
Forest Gate,ಫಾರೆಸ್ಟ್ ಗೇಟ್
Form House Gorinabele,ಫಾರಂ ಹೌಸ್‌ ಗೋರಿನಬೆಲೆ
Forum City Apartment,ಫೋರಂ ಸಿಟಿ ಅಪಾರ್ಟ್‌ಮೆಂಟ್
Forum Mall,ಫೋರಂ‌ ಮಾಲ್
Frazer Town,ಫ್ರೆಜರ್‌ ಟೌನ್
Frazer Town Police Station,ಫ್ರೇಜರ್ ಟೌನ್ ಪೊಲೀಸ್ ಠಾಣೆ
Fullinfaws College Yelenahalli,ಫುಲಿಂಫಾಸ್ ಕಾಲೇಜು ಯಲೇನಹಳ್ಳಿ
G Hosahalli,ಜಿ ಹೊಸಹಳ್ಳಿ
G Hosahalli Road Junction,ಜಿ ಹೊಸಹಳ್ಳಿ ರಸ್ತೆ ಜಂಕ್ಷನ್
GBJ Colony Gate Doddanekkundi,ಜಿಬಿಜೆ ಕಾಲೋನಿ ಗೇಟ್‌ ದೊಡ್ಡನೆಕ್ಕುಂದಿ
GG Palya Toll,ಜಿಜಿ ಪಾಳ್ಯ ಟೋಲ್
GKVK,ಜಿಕೆವಿಕೆ
GKVK GATE,ಜಿಕೆವಿಕೆ ಗೇಟ್
GKVK Layout,ಜಿಕೆವಿಕೆ ಬಡಾವಣೆ
GKW Layout,ಜಿಕೆಡಬ್ಲ್ಯೂ ಬಡಾವಣೆ
GM Palya,ಜಿಎಂ ಪಾಳ್ಯ
GM palya,ಜಿಎಂ ಪಲ್ಯ
GOVT Hospital K Gollahalli,ಗೊವ್ಟ್ ಹೊಸ್ಪಿಟಲ್ ಕ್ ಗೊಲ್ಲಹಲ್ಲಿ
GPO,ಜಿಪಿಒ
GR College,ಜಿಆರ್ ಕಾಲೇಜು
GR Tech Park ITPL,ಜಿಆರ್ ಟೆಕ್‌ ಪಾರ್ಕ್‌ ಐಟಿಪಿಎಲ್
GRG Dairy Thirupalya,ಜಿಆರ್‌ಜಿ ಡೈರಿ ತಿರುಪಾಳ್ಯ
GTRE Engine Division,ಜಿಟಿಅರ್‌ಈ ಎಂಜಿನ್‌ ಡಿವಿಷನ್
GVT School Kodiyala Karenahalli,ಜಿವಿಟಿ ಸ್ಕೂಲ್ ಕೊಡಿಯಾಲ ಕರೇನಹಳ್ಳಿ
Gadenahalli,ಗಾದೇನಹಳ್ಳಿ
Gadenahalli Cross,ಗಾದೇನಹಳ್ಳಿ ಕ್ರಾಸ್
Gadenahalli Gate,ಗಾದೇನಹಳ್ಳಿ ಗೇಟ್
Gadigaiahana Doddy,ಗದಿಗಯ್ಯನ ದೊಡ್ಡಿ
Gadigayyana Doddy,ಗಡಿಗಯ್ಯನ ದೊಡ್ಡಿ
Gadipalya,ಗಾಡಿಪಾಳ್ಯ
Galaxy Paradise,ಗ್ಯಾಲಕ್ಸಿ ಪ್ಯಾರಡೈಸ್
Ganagalu,ಗಣಗಲು
Ganagalu Cross,ಗಣಗಲು ಕ್ರಾಸ್
Ganagaluru,ಗಣಗಲೂರು
Ganagaluru Circle,ಗಣಗಲೂರು ವೃತ್ತ
Ganagaluru Cross,ಗಣಗಲೂರು ಕ್ರಾಸ್
Ganakal,ಗಾಣಕಲ್
Ganapathi Enclave,ಗಣಪತಿ ಎನ್ಕ್ಲೇವ್
Ganapathi Layout,ಗಣಪತಿ ಲೇಔಟ್
Ganapathi Layout 1st Stage,ಗಣಪತಿ ಲೇಔಟ್ 1ಎಸ್ಟಿ ಸ್ಟೇಜ್
Ganapathi Nagara Raghavendra Badavane,ಗಣಪತಿ ನಗರ ರಾಘವೇಂದ್ರ ಬಡಾವಣೆ
Ganapathihalli,ಗಣಪತಿಯಲ್ಲಿ
Ganapathipura,ಗಣಪತಿಪುರ
Gandhi Bazaar,ಗಾಂಧಿ ಬಜಾರ್‌
Gandhi Bhavan,ಗಾಂಧಿ ಭವನ
Gandhi Circle Magadi,ಗಾಂಧಿ ವೃತ್ತ ಮಾಗಡಿ
Gandhi Farm Gate,ಗಾಂಧಿ ಫಾರ್ಮ್ ಗೇಟ್
Gandhi Grama,ಗಾಂಧಿ ಗ್ರಾಮ
Gandhi Nagara,ಗಾಂಧಿನಗರ
Gandhi School,ಗಾಂಧಿ ಶಾಲೆ
Gandhipura,ಗಾಂಧಿಪುರ
Gandragulipura,ಗಂದ್ರಗುಳಿಪುರ
Ganesh Mantapa,ಗಣೇಶ್ ಮಂಟಪ
Ganesha Bhavan,ಗಣೇಶ ಭವನ
Ganesha Circle Vaddarahalli,ಗಣೇಶ ವೃತ್ತ ವಡ್ಡರಹಳ್ಳಿ
Ganesha Gudi Nelamangala,ಗಣೇಶ ಗುಡಿ ನೆಲಮಂಗಲ
Ganesha Temple Bettanahalli,ಗಣೇಶ ದೇವಸ್ಥಾನ ಬೆಟ್ಟನಹಳ್ಳಿ
Ganesha Temple Chandra Layout,ಗಣೇಶ ದೇವಸ್ಥಾನ ಚಂದ್ರ ಬಡಾವಣೆ
Ganesha Temple Mahalakshmi Layout,ಗಣೇಶ ದೇವಸ್ಥಾನ ಮಹಾಲಕ್ಷ್ಮೀ ಬಡಾವಣೆ
Ganesha Temple Mahalaskhmi Layout,ಗಣೇಶ ದೇವಸ್ಥಾನ ಮಹಾಲಕ್ಷ್ಮೀ ಬಡಾವಣೆ
Ganesha Temple Sahakara Nagara,ಗಣೇಶ ದೇವಸ್ಥಾನ ಸಹಕಾರ ನಗರ
Ganesha Temple Tavarekere,ಗಣೇಶ ದೇವಸ್ಥಾನ ತಾವರೆಕೆರೆ
Ganesha Temple Thippasandra,ಗಣೇಶ ದೇವಸ್ಥಾನ ತಿಪ್ಪಸಂದ್ರ
Ganesha Temple Ullala,ಗಣೇಶ ದೇವಸ್ಥಾನ ಉಲ್ಲಾಳ
Ganesha Temple Vasanthanagara,ಗಣೇಶ ದೇವಸ್ಥಾನ ವಸಂತ ನಗರ
Ganga International School,ಗಂಗಾ  ಅಂತರರಾಷ್ಟೀಯ ಶಾಲೆ
Ganga Nagara,ಗಂಗಾನಗರ
Gangadaranapalya,ಗಂಗಾದರನಪಾಳ್ಯ
Gangadhara Kalyana Mantapa,ಗಂಗಾಧರ ಕಲ್ಯಾಣ ಮಂಟಪ
Gangadharanapalya,ಗಂಗಾಧರನಪಾಳ್ಯ
Gangamma Circle,ಗಂಗಮ್ಮ ವೃತ್ತ
Gangamma Temple Maralawadi Road,ಗಂಗಮ್ಮ ದೇವಸ್ಥಾನ ಮರಳವಾಡಿ ರಸ್ತೆ
Gangappanahalli,ಗಂಗಪ್ಪನಹಳ್ಳಿ
Gangapura,ಗಂಗಾಪುರ
Gangasandra,ಗಂಗಸಂದ್ರ
Gangavara,ಗಂಗಾವಾರ
Gangenahalli,ಗಂಗೇನಹಳ್ಳಿ
Gangenahalli Cross,ಗಂಗೇನಹಳ್ಳಿ ಕ್ರಾಸ್
Gangenahalli Junction,ಗಂಗೇನಹಳ್ಳಿ ಜಂಕ್ಷನ್
Gangodahalli Cross,ಗಂಗೋಡಹಳ್ಳಿ ಕ್ರಾಸ್
Gangodahalli Cross 1,ಗಂಗೋಡಹಳ್ಳಿ ಕ್ರಾಸ್ 1
Gangondanahalli,ಗಂಗೊಂಡನಹಳ್ಳಿ
Gangondanahalli Masjid,ಗಂಗೊಂಡನಹಳ್ಳಿ ಮಸೀದಿ
Gangothri Circle,ಗಂಗೋತ್ರಿ  ವೃತ್ತ
Ganigarahalli,ಗಾಣೀಗರಹಳ್ಳಿ
Ganigarapalya,ಗಾಣೀಗರ ಪಾಳ್ಯ
Ganigarapalya Cross Yantaganahalli,ಗಾಣೀಗರ ಪಾಳ್ಯ ಕ್ರಾಸ್‌ ಯಂಟಗಾನಹಳ್ಳಿ
Ganjalahalli,ಗಂಜಲಹಳ್ಳಿ
Gantaganahalli,ಗಂಟಗಾನಹಳ್ಳಿ
Gantakana Doddy Cross,ಗಂಟಕನ ದೊಡ್ಡಿ ಕ್ರಾಸ್
Garden City College TC Palya,ಗಾರ್ಡನ್‌ ಸಿಟಿ ಕಾಲೇಜು ಟಿ ಸಿ ಪಾಳ್ಯ
Garments Factory Borugunte,ಗಾರ್ಮೆಂಟ್ಸ್ ಫ್ಯಾಕ್ಟರಿ ಬೋರುಗುಂಟೆ
Garuda Mall,ಗರುಡ ಮಾಲ್‌
Garudacharpalya,ಗರುಢಚಾರ್‌ ಪಾಳ್ಯ
Garudappa Circle Thigalarapalya,ಗರುಡಪ್ಪ ವೃತ್ತ ತಿಗಳರಪಾಳ್ಯ
Garvebhavipalya,ಗಾರ್ವೇಭಾವಿ ಪಾಳ್ಯ
Gas Factory Kempalinganahalli,ಗ್ಯಾಸ್ ಫ್ಯಾಕ್ಟರಿ ಕೆಂಪಲಿಂಗನಹಳ್ಳಿ
Gattahalli,ಗಟ್ಟಹಳ್ಳಿ
Gattigerepalya,ಗಟಿಗೆರೆಪಲೆ
Gavi Gangadareshwara Temple,ಗವಿ ಗಂಗಾದೇಶ್ವರ ದೇವಸ್ಥಾನ
Gavinagamangala Gate,ಗವಿನಾಗಮಂಗಲ ಗೇಟ್
Gaviyanapalya,ಗವಿಯನಪಾಳ್ಯ
Gaviyappa Thimayya Layout,ಗವಿಯಪ್ಪ ತಿಮ್ಮಯ್ಯ ಬಡಾವಣೆ
Gayathri Nagara,ಗಾಯತ್ರಿ ನಗರ
Gayathri Nagara Cross,ಗಾಯತ್ರಿ ನಗರ ಕ್ರಾಸ್
Gear School,ಗಿಯರ್ ಶಾಲೆ
Geddalahalli,ಗೆದ್ದಲಹಳ್ಳಿ
Geddalapura,ಗೆದ್ದಲಾಪುರ
Geetanjali Layout,ಗೀತಾಂಜಲಿ ಬಡಾವಣೆ
Gejjagadahalli Cross,ಗೆಜ್ಜಗದಹಳ್ಳಿ ಕ್ರಾಸ್
Gejjagalpalya,ಗೆಜ್ಜಗಲಪಾಳ್ಯ
Gejjigadahalli,ಗೆಜ್ಜಿಗದಹಳ್ಳಿ
Gejjigadahalli Colony,ಗೆಜ್ಜಿಗದಹಳ್ಳಿ ಕಾಲೋನಿ
Geleyara Balaga Extension Rajajinagara,ಗೆಳೆಯರ ಬಳಗ ಎಕ್ಸ್ ಟೆನ್ಷನ್‌ ರಾಜಾಜಿನಗರ
Genius Global School Kodathi,ಜೀನಿಯಸ್ ಗ್ಲೋಬಲ್ ಸ್ಕೂಲ್ ಕೊಡತಿ
Gerahalli,ಗೇರಹಳ್ಳಿ
Gerupalya,ಗೇರುಪಾಳ್ಯ
Gerupura,ಗೇರುಪುರ
Gerupura Gate,ಗೇರುಪುರ ಗೇಟ್
Ghati Subramanya,ಘಾಟಿ ಸುಬ್ರಮಣ್ಯ
Gidadakonenahalli,ಗಿಡದಕೊನೇನಹಳ್ಳಿ
Gidadakonenahalli Cross,ಗಿಡದಕೊನೇನಹಳ್ಳಿ ಕ್ರಾಸ್
Gidadapalya,ಗಿಡದಪಾಳ್ಯ
Gidadapalya Bridge,ಗಿಡದಪಾಳ್ಯ ಮೇಲ್ಸೇತುವೆ
Gidaveerasagara,ಗಿಡವೀರಸಾಗರ
Giddanahalli Gate,ಗಿಡ್ಡನಹಳ್ಳಿ ಗೇಟ್
Giddappanahalli,ಗಿಡ್ಡಪ್ಪನಹಳ್ಳಿ
Giddenahalli,ಗಿಡ್ಡೆನಹಳ್ಳಿ
Girigowdana Doddy,ಗಿರಿಗೌಡನ ದೊಡ್ಡಿ
Girigowdana Doddy Colony,ಗಿರಿಗೌಡನ ದೊಡ್ಡಿ ಕಾಲೋನಿ
Girigowdana Doddy Cross,ಗಿರಿಗೌಡನ ದೊಡ್ಡಿ ಕ್ರಾಸ್
Girinagara,ಗಿರಿನಗರ
Girinagara 2nd Stage,ಗಿರಿನಗರ 2ನೇ ಹಂತ
Girinagara Cross,ಗಿರಿನಗರ ಕ್ರೊಸ್ಸ್
Girinagara Extension,ಗಿರಿನಗರ ಎಕ್ಸ್ ಟೆನ್ಷನ್‌
Giriyamma Circle,ಗಿರಿಯಮ್ಮ ವೃತ್ತ
Giriyappanapalya,ಗಿರಿಯಪ್ಪನಪಾಳ್ಯ
Giriyappanapalya Cross,ಗಿರಿಯಪ್ಪನಪಾಳ್ಯ ಕ್ರಾಸ್
Glass Factory,ಗ್ಲಾಸ್‌ ಫ್ಯಾಕ್ಟರಿ
Glass House Halage Vaderahalli,ಗ್ಲಾಸ್ ಹೌಸ್ ಹಲಗೆ ವಡೇರಹಳ್ಳಿ
Global Academy,ಗ್ಲೋಬಲ್‌ ಅಕಾಡೆಮಿ
Global Village,ಗ್ಲೋಬಲ್‌ ವಿಲೇಜ್
Gobbaragunte,ಗೊಬ್ಬರಗುಂಟೆ
Goduru,ಗೊಡೂರು
Gokare,ಗೋಕರೆ
Golf Club HAL,ಗೋಲ್ಪ್ ಕ್ಲಬ್‌ ಎಚ್‌ಎಎಲ್
Gollahalli,ಗೊಲ್ಲಹಳ್ಳಿ
Gollahalli Cross,ಗೊಲ್ಲಹಳ್ಳಿ ಕ್ರಾಸ್
Gollahalli Electronic City,ಗೊಲ್ಲಹಳ್ಳಿ‌ ಎಲೆಕ್ಟ್ರಾನಿಕ್‌ ಸಿಟಿ
Gollahallii Road Junction,ಗೊಲ್ಲಹಳ್ಳಿ ರಸ್ತೆ ಜಂಕ್ಷನ್
Gollarahatti,ಗೊಲ್ಲರಹಟ್ಟಿ
Gollarahatti Magadi,ಗೊಲ್ಲರಹಟ್ಟಿ ಮಾಗಡಿ
Gollarapalya,ಗೊಲ್ಲರಪಾಳ್ಯ
Gongatipura,ಗೊಂಗಟಿಪುರ
Gonighattapura,ಗೋಣಿಘಟ್ಟಪುರ
Gonighattapura Cross,ಗೋಣಿಘಟ್ಟಪುರ ಕ್ರಾಸ್
Gonipura,ಗೋಣಿಪುರ
Good Earth Malhar,ಗುಡ್ ಅರ್ತ್ ಮಲ್ಹಾರ್
Good Earth Villas Cross,ಗುಡ್‌ ಅರ್ಥ್‌ ವಿಲಾಸ್‌ ಕ್ರಾಸ್
Goodshed Road,ಗುಡ್ ಶೆಡ್‌ ರಸ್ತೆ
Gopal Estate,ಗೋಪಾಲ್‌ ಎಸ್ಟೇಟ್
Gopalapura,ಗೋಪಾಲಪುರ
Gopasandra,ಗೋಪಸಂದ್ರ
Gopasandra Cross,ಗೋಪಸಂದ್ರ ಕ್ರಾಸ್
Gopasandra Gate,ಗೋಪಸಂದ್ರ ಗೇಟ್
Goraguntepalya,ಗೊರಗುಂಟೆಪಾಳ್ಯ ವರ್ತುಲ ರಸ್ತೆ
Goraguntepalya  Ring Road,ಗೊರಗುಂಟೆಪಾಳ್ಯ ವರ್ತುಲ ರಸ್ತೆ
Goravanahalli Cross,ಗೊರವನಹಳ್ಳಿ ಕ್ರಾಸ್
Gorinabele,ಗೋರಿನಬೆಲೆ
Gorinabele Colony,ಗೋರಿನಬೆಲೆ ಕಾಲೋನಿ
Gorinabele Cross,ಗೋರಿನಬೆಲೆ ಕ್ರಾಸ್
Gorinabele colony,ಗೋರಿನಬೆಲೆ ಕಾಲೋನಿ
Goripalya,ಗೋರಿಪಾಳ್ಯ
Gorivegere Gate,ಗೊರಿವೆಗೆರೆ ಗೇಟ್
Gorivegere Village,ಗೊರಿವೆಗೆರೆ ಗ್ರಾಮ
Gottigehalli,ಗೊಟ್ಟಿಗೆಹಳ್ಳಿ
Gottigehalli Junction,ಗೊಟ್ಟಿಗೇಹಳ್ಳಿ ಜಂಕ್ಷನ್
Gottigere,ಗೊಟ್ಟಿಗೆರೆ
Gottigere Nice Road Junction,ಗೊಟಿಗೆರೆ ನಿಕೆ ರೊದ್ ಜುಂಕ್ಟಿೊಂ
Gottipura,ಗೊಟ್ಟಿಪುರ
Gottipura Gate,ಗೊಟ್ಟಿಪುರ ಗೇಟ್
Govardhan Talkies,ಗೋರ್ವಧನ್‌ ಚಿತ್ರಮಂದಿರ
Govindapura,ಗೋವಿಂದಪುರ
Govindapura Colony,ಗೋವಿಂದಪುರ ಕಾಲೋನಿ
Govindapura Cross,ಗೋವಿಂದಪುರ ಕ್ರಾಸ್
Govindarajanagara,ಗೋವಿಂದರಾಜನಗರ
Govt Film and Television Institute,ಸರ್ಕಾರಿ ಫಿಲ್ಮ್ ಆಂಡ್ ಟೆಲಿವಿಷನ್ ಇನ್ಸ್ಟಿಟ್ಯೂಟ್
Govt First Grade College Bidadi,ಸರ್ಕಾರಿ ಪದವಿ ಪೂರ್ವ ಕಾಲೇಜು ಬಿಡದಿ
Govt Hospital Arakere,ಸರ್ಕಾರಿ ಆಸ್ಪತ್ರೆ ಅರಕೆರೆ
Govt Hospital Vijayapura,ಸರ್ಕಾರಿ ಆಸ್ಪತ್ರೆ ವಿಜಯಪುರ
Govt Junior College Chikkaballapura,ಸರ್ಕಾರಿ ಜೂನಿಯರ್‌  ಕಾಲೇಜ್ ಚಿಕ್ಕಬಳ್ಳಾಪುರ
Govt Primary School Bommasandra,ಸರ್ಕಾರಿ ಪ್ರಾಥಮಿಕ ಶಾಲೆ  ಬೊಮ್ಮಸಂದ್ರ
Govt School Jakkur,ಸರ್ಕಾರಿ ಶಾಲೆ ಜಕ್ಕೂರು
Govt School Thotada Guddadahalli,ಗೋವ್ಟ್ ಸ್ಕೂಲ್ ತೋಟದ ಗುಡ್ಡದಹಳ್ಳಿ
Govt School Yelahanka 4th Phase,ಸರ್ಕಾರಿ ಶಾಲೆ ಯಲಹಂಕ 4ನೇ ಹಂತ
Govt Soap Factory,ಸರ್ಕಾರಿ ಸೋಪು ಕಾರ್ಖಾನೆ
Gowdahalli,ಗೌಡನಹಳ್ಳಿ
Gowdahalli Colony,ಗೌಡಹಳ್ಳಿ ಕಾಲೋನಿ
Gowdaiahanapalya,ಗೌಡಯ್ಯನಪಾಳ್ಯ
Gowdanapalya,ಗೌಡನಪಾಳ್ಯ
Gowrava Bhovi Palya,ಗೌರವಭೋವಿ ಪಾಳ್ಯ
Gowrava Nagara,ಗೌರವನಗರ
Gowrenahalli,ಗೌರೇನಹಳ್ಳಿ
Grandwell,ಗ್ರಾಂಡ್‌ ವೆಲ್
Graphite India,ಗ್ರಾಫೈಟ್‌ ಇಂಡಿಯಾ
Graphite Junction,ಗ್ರಾಫೈಟ್ ಜಂಕ್ಷನ್
Green Field,ಗ್ರೀನ್‌ ಫೀಲ್ಡ್
Green Wood High School,ಗ್ರೀನ್‌ ವುಡ್‌ ಫ್ರೌಢಶಾಲೆ
Gruhalakshmi Layout,ಗೃಹಲಕ್ಷ್ಮಿ ಬಡಾವಣೆ
Gubbalala,ಗುಬ್ಬಲಾಳ
Gubbalala Gate,ಗುಬ್ಬಲಾಳ ಗೇಟ್
Gubbi Cross,ಗುಬ್ಬಿ ಕ್ರಾಸ್
Guddadahalli,ದಾಸೇನಹಳ್ಳಿ ಕ್ರಾಸ್
Guddadahalli Dinne,ಗುಡ್ಡದಹಳ್ಳಿ ದಿಣ್ಣೆ
Guddahalli,ಗುಡ್ಡಹಳ್ಳಿ
Guddahatti,ಗುಡ್ಡಹಟ್ಟಿ
Guddahatti Gate,ಗುಡ್ಡಹಟ್ಟಿ ಗೇಟ್
Guddaiahnapalya,ಗುಡ್ಡಯ್ಯನಪಾಳ್ಯ
Guddaiahnapalya 1,ಗುಡ್ಡಯ್ಯನಪಾಳ್ಯ
Gudde Devastana Kamalanagara,ಗುಡ್ಡೆ ದೇವಸ್ಥಾನ ಕಮಲಾನಗರ
Guddegowdana Channohalli,ಗುಡ್ಡೇಗೌಡನ ಚನ್ನೋಹಳ್ಳಿ
Gudemaranahalli Hand Post,ಗುಡೇಮಾರನಹಳ್ಳಿ ಹ್ಯಾಂಡ್‌ ಪೋಸ್ಟ್
Gudipalya,ಗುಡಿಪಾಳ್ಯ
Gudipalya Cross,ಗುಡಿಪಾಳ್ಯ ಕ್ರಾಸ್
Guduvanahalli,ಗುಡುವನಹಳ್ಳಿ
Guduvanahalli Gate,ಗುಡುವನಹಳ್ಳಿ ಗೇಟ್
Guestline Hotel,ಗೆಸ್ಟ್ ಲೈನ್‌ ಹೋಟೆಲ್
Gulaganjahalli,ಗುಳಗಂಜಹಳ್ಳಿ
Gulaganjahalli Cross,ಗುಲಗಂಜಹಳ್ಳಿ ಕ್ರಾಸ್
Gulakamale,ಗುಳಕಮಲೆ
Gulimangala,ಗುಳಿಮಂಗಲ
Gullahalli,ಗುಲ್ಲಹಳ್ಳಿ
Gullahalli Gate,ಗುಲ್ಲಳ್ಳಿ ಗೇಟ್
Gullahatti Kaval,ಗುಲ್ಲಹಟಿ ಕವಲ್
Gullakaipura,ಗುಳ್ಳಕಿಪುರ
Gullenahalli,ಗುಳ್ಳೇನಹಳ್ಳಿ
Gunasheela Hospital,ಗುಣಶೀಲ ಆಸ್ಪತ್ರೆ
Gundammanapalya,ಗುಂಡಮ್ಮನಪಾಳ್ಯ
Gundammanapalya Colony,ಗುಂಡಮ್ಮನಪಾಳ್ಯ ಕಾಲೋನಿ
Gundanjaneya Swamy Temple Ravagodlu,ಗುಂಡಾಂಜನೇಯ ಸ್ವಾಮಿ ದೇವಸ್ಥಾನ ರವಗೊಡ್ಲು
Gundappa Road,ಗುಂಡಪ್ಪ  ರಸ್ತೆ
Gundenahalli,ಗುಂಡೇನಹಳ್ಳಿ
Gundenahalli Cross,ಗುಂಡೇನಹಳ್ಳಿ ಕ್ರಾಸ್
Gundur,ಗುಂಡೂರು
Gundur Colony,ಗುಂಡೂರು ಕಾಲೋನಿ
Guni Agrahara,ಗುಣಿ ಅಗ್ರಹಾರ
Gunjurpalya,ಗುಂಜುರ್‌ ಪಾಳ್ಯ
Gunjurpalya Gate,ಗುಂಜುರ್‌ ಪಾಳ್ಯ ಗೇಟ್
Gunjuru,ಗುಂಜೂರು
Gurappanapalya,ಗುರಪ್ಪನಪಾಳ್ಯ
Guravanahalli,ಗುರವನಹಳ್ಳಿ
Gurudwara,ಗುರುದ್ವಾರ
Gurudwara/Lido,ಗುರುದ್ವಾರ/ಲಿಡೋ
Gurukula School Tharahunase,ಗುರುಕುಲ ಶಾಲೆ ತರಹುಣಸೆ
Guruvanahalli,ಗುರವನಹಳ್ಳಿ
Guttahalli,ಗುಟ್ಟಹಳ್ಳಿ
Guttepalya,ಗುಟ್ಟೆಪಾಳ್ಯ
H Cross,ಹೆಚ್‌ ಕ್ರಾಸ್
H Gollahalli,ಹೆಚ್ ಗೊಲ್ಲಹಳ್ಳಿ
H Gollahalli Cross,ಹೆಚ್ ಗೊಲ್ಲಹಳ್ಳಿ‌ ಕ್ರಾಸ್
H Krishnappa Layout,ಹೆಚ್‌ ಕೃಷ್ಣಪ್ಪ ಬಡಾವಣೆ
HAL ARDC,ಹೆಚ್‌ಎಎಲ್ ಎಆರ್‌ಡಿಸಿ
HAL Gnanajyothi School,ಹೆಚ್‌ಎಎಲ್ ಜ್ಞಾನಜ್ಯೋತಿ ಶಾಲೆ
HAL Kalyana Mantap,ಹೆಚ್‌ಎಎಲ್‌ ಕಲ್ಯಾಣ ಮಂಟಪ
HAL LCA,ಹೆಚ್‌ಎಎಲ್‌ ಎಲ್‌ಸಿಎ
HAL Main Gate,ಹೆಚ್‌ಎಎಲ್‌ ಮುಖ್ಯದ್ವಾರ
HAL Market/SBI Bank,ಹೆಚ್‌ಎಎಲ್‌  ಮಾರ್ಕೆಟ್/ಎಸ್‌ಬಿಐ ಬ್ಯಾಂಕ್
HAL Museum,ಹೆಚ್‌ಎಎಲ್  ಮ್ಯೂಸಿಯಂ
HAL New Public School,ಎಚ್‌ಎಎಲ್‌ ಪಬ್ಲಿಕ್‌ ಶಾಲೆ
